Czy sms są nielimitowane?,3
Czy będę płacić za sms do innych sieci?,3
Czy mmsy są nielimitowane?,3
Czy będę płacić za mmsy do innych sieci?,3
Czy rozmowy są nielimitowane?,3
Czy rozmowy w sieci są limitowane?,3
Czy rozmowy do wszystkich sieci są nielimitowane?,3
Czy jest dostępna oferta z video bez limitu?,3
Czy za zgody makretingowe są rabaty?,3
Czy oferta zawiera pakiet internetu?,3
Czy jest dostępna oferta z nielimitowanym internetem?,3
Czy jest dostępna oferta z internetem 5 GB?,3
Czy jest dostępna oferta z internetem  2 GB?,3
Czy mogę dostać abonament z telefonem za 35zł?,3
Czy mogę podpisać umowę na 12 miesięcy?,3
Czy jest dostępna oferta bez telefonu?,3
Czy mogę mieć dostęp do Netflixa w ramach abonamentu?,3
Czy mogę mieć darmowy dostęp do Netflixa przez cały czas umowy?,3
Czy mogę płacić mniejsze ceny za abonament na początku?,3
Czy jest dostępna oferta na karty?,3
Czy w ramach oferty na karty rozmowy są bez limitu?,3
Czy oferta na karty zawiera pakiet internetu?,3
Czy w ofercie na kartę mogę mieć 5 GB internetu?,3
Czy w ofercie na kartę smsy są nielimitowane?,3
Czy jest oferta łącząca abonament i kartę?,3
Czy jest określona kwota minimalnego doładowania?,3
Czy jest określona liczba doładowań w ofercie MIX?,3
Czy mogę tylko 2 razy doładować kartę w ofercie MIX?,3
Czy pierwsze doładowania są tańsze?,3
Czy rozmowy w ofercie MIX w sieci Tmobile są limitowane?,3
Czy rozmowy w ofercie MIX do innych sieci są limitowane?,3
Czy sms w ofercie MIX są nielimitowane?,3
Czy w ofercie MIX będą płacić za sms do innych sieci?,3
Czy mmsy są nielimitowane w ofercie MIX?,3
Czy w ramach oferty MIX będą płacić za mmsy do innych sieci?,3
Czy w ofercie MIX jest dostępny pakiet internetu?,3
Czy w ofercie MIX można mieć GB internetu?,3
Czy w ofercie MIX można otrzymać dodatkowy pakiet internetu?,3
Czy w ofercie MIX można mieć telefon?,3
Czy można mieć ofertę MIX bez telefonu?,3
Czy mogę wybrać ofertę MIX za 50 zł?,3
Czy mogę wybrać ofertę MIX za 4zł?,3
Czy w ofercie MIX mogę wybrać telefon Huawei?,3
Czy w ofercie MIX mogę wybrać telefon Apple?,3
Chciałbym zmienić numer,1
Chcę zmienić numer,1
Chciałbym dokupić numer,1
Chcę dokupić numer,1
Potrzebuję nowego numeru,1
Chcę nowy numer wraz z telefonem,1
Chcę dodać numer do mojej umowy,1
"Potrzebuję zmienię numer, bo na obecny wydzwania do mnie ukryty numer ",2
Przyszedłem kupić nowy numer,1
Chcę dokupić numer dla swojej firmy,1
Chcę wykupić dodatkowe dwa numery,1
"Jestem tutaj, żeby dokupić numer do mojej oferty",1
Chciałbym wziąć dodatkowy numer do mojej oferty,1
Czy mogę dokupić numer telefonu? Jak tak to bym wziąć jeden,1
Jeżeli mogę dokupić numer do abonamentu to chciałbym wziąć jeden dodatkowy,1
Dodatkowy numer telefonu chciałbym wziąć na swój abonament,1
Potrzebny mi jest dodatkowy numer telefonu,1
Chciałbym kupić złoty numer,1
Chciałbym dobrać złoty numer,1
Potrzebuję nowy numer dla mojego syna,1
Chciałbym zgłosić reklamacje,2
Chce zgłosić reklamacje,2
"Dostałem popsuty telefon, chce zgłosić reklamacje",2
"Telefon ma uszkodzone wifi, chcę go zareklamować",2
Chcę dokupić pakiet internetu,1
Chcę zmienić umowę,2
Chcę podpisać nową umowę,2
"Potrzebuję zgłosić reklamację, ponieważ ten telefon nie działa",2
Zostałem oszukany i chcę zgłosić reklamację,2
Chciałbym kupić telefon z ofertę,1
Chcę wziąć telefon na umowę,1
Chcę kupić mojej żonie telefon na firmę,1
Chcę wziąć mojemu mężowi telefon na firmę,1
Potrzebuję dodatkowe 2 giga internetu,1
Chcę dokupić 5 giga internetu do mojego pakietu,1
"Chciałbym zareklamować internet, ponieważ działa bardzo wolno",2
"Internet działa bardzo wolno, chciałbym go zareklamować",2
"Internet strasznie zamula, chcę zrezygnować z oferty",2
Internet jest za przeproszeniem do dupy i chciałbym zrezygnować z niego,2
Chcę zmienić przepustowość internetu,1
Potrzebuję wziąć dodatkowy numer do naszego abonamentu,1
"W telefonie nie działa kamera, przyszedłem wymienić telefon",2
"Chcę unieważnić umowę, ponieważ telefon od początku nie działa",2
"Nie działa telefon, który dostałem od państwa. Chciałbym go rezeklamować",2
"Dzień dobry, chciałbym przenieść numer do T-mobile",1
Jakie oferty państwo proponujecie?,3

